Id,road,cultivation,agriculture,haze,clear,habitation,bare_ground,blooming,partly_cloudy,selective_logging,blow_down,primary,slash_burn,artisinal_mine,water,conventional_mine,cloudy
train_173,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
train_174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
train_176,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
train_178,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
train_180,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
train_182,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
train_184,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
train_186,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
train_188,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
train_190,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
train_192,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0
train_194,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
train_197,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
train_199,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
train_201,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
train_203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
train_205,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
train_207,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
train_209,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
train_211,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0
train_213,1,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0
train_215,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
train_216,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
train_218,1,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0
train_220,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
train_222,1,1,1,0,1,1,0,0,0,0,0,1,0,0,1,0,0
train_224,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
train_227,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
train_230,1,0,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0
train_232,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
train_234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
train_235,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
train_237,1,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0
train_239,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0
train_241,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
train_242,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
train_244,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
train_246,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
train_249,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
train_251,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
train_253,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0
train_255,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0
train_258,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0
train_260,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
train_262,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
train_264,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
train_266,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0
train_268,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0
train_270,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
train_272,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
train_273,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
train_275,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
train_277,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
train_279,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
train_281,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0
train_283,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0
train_284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
train_287,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
train_289,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
train_292,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
train_294,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
train_296,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
train_298,0,1,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0
train_300,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
train_302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
train_303,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
train_305,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
train_307,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
train_309,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0
train_311,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0
train_313,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
train_315,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
train_316,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
train_318,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
train_319,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
train_321,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
train_323,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
train_326,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
train_328,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
train_330,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0
train_332,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
train_333,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
train_335,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
train_338,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
train_342,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
train_343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
train_345,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
train_347,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0
train_349,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
train_351,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
train_353,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0
train_355,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
train_357,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
train_359,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
train_362,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
train_363,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
train_365,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
train_368,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
train_370,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0
train_372,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
train_374,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
train_376,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
train_378,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
train_380,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
train_382,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
train_384,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
train_386,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
train_388,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
train_389,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
train_391,1,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0
train_393,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
train_395,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
train_396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
train_398,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
train_400,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0
train_402,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0
train_404,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
train_407,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
train_409,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
train_411,1,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0
train_414,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
train_416,1,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0
train_419,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0
train_421,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0
train_423,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
train_425,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
train_426,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
train_427,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
train_429,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
train_431,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
train_434,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
train_436,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
train_437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
train_439,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
train_441,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0
train_443,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
train_445,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0
train_447,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
train_449,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
train_451,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
train_454,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
train_456,1,0,1,0,1,1,0,0,0,0,0,1,0,0,1,0,0
train_459,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
train_460,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
train_462,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
train_464,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
train_466,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
train_468,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
train_470,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
train_472,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
train_474,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0
train_476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
train_477,0,1,1,0,1,1,0,0,0,0,0,1,1,0,0,0,0
train_479,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
train_481,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
train_483,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
train_485,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
train_487,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
train_489,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
train_491,1,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0
train_493,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
train_495,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
train_497,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
train_499,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
train_501,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
train_503,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
train_506,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
train_508,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
train_510,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
train_512,1,0,1,0,1,1,0,0,0,0,0,1,0,0,1,0,0
train_514,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
train_516,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
train_518,1,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0
train_519,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0
train_521,0,0,0,0,1,0,1,0,0,0,1,1,1,0,0,0,0
train_523,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0
train_525,1,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0
train_527,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
train_529,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0
train_531,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
train_535,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0
train_537,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0
train_539,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0
train_541,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0
train_543,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
train_545,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
train_547,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
train_549,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
train_551,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
train_553,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
train_556,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
train_558,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
train_560,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
train_562,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
train_563,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
train_565,1,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0
train_567,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
train_569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
train_570,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
train_571,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
train_573,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
train_575,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
train_577,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
train_579,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
train_583,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
train_585,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0
train_587,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
train_589,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
train_591,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
train_593,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
train_595,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
train_597,1,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0
train_599,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
train_601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
train_602,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
train_604,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
train_606,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
train_608,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
train_610,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
train_612,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
train_614,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0
train_616,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
train_618,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
train_620,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
train_622,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
train_624,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
train_625,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
train_627,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
train_629,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
train_631,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
train_633,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0
train_635,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
train_637,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
train_639,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
train_641,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
train_643,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
train_645,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
train_648,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
train_650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
train_651,1,0,1,0,1,1,0,0,0,0,0,1,0,0,1,0,0
train_653,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
train_656,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0
train_658,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
train_660,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
train_661,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
train_663,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
train_665,1,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0
train_667,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
train_669,1,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0
train_671,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
train_673,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
train_675,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
train_677,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0
train_679,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
train_681,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
train_683,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
train_685,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
train_687,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
train_690,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
train_691,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
train_694,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
train_696,1,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0
train_698,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
train_700,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
train_702,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
train_705,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
train_707,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
train_709,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
train_711,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
train_713,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
train_715,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0
train_718,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0
train_720,0,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0
train_722,1,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0
train_724,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
train_726,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0
train_728,1,1,1,0,1,1,0,0,0,0,0,1,1,0,0,0,0
